"nombre";"sexo";"2015";"2016";"2017";"2018";"2019";"2020";"n_total"
"Luccas";"M";NA;NA;NA;NA;"21";"28";"49"
"Dastan";"M";"15";"15";NA;NA;"18";NA;"48"
"Thómas";"M";NA;NA;NA;"16";"16";"16";"48"
"Benicio";"M";NA;"15";NA;NA;"15";"15";"45"
"Farid";"M";NA;"18";NA;NA;NA;"23";"41"
"Andres";"M";NA;NA;NA;NA;"21";"20";"41"
"Esay";"M";"23";"17";NA;NA;NA;NA;"40"
"Erwin";"M";"23";NA;NA;"16";NA;NA;"39"
"Cristhofer";"M";"20";"19";NA;NA;NA;NA;"39"
"Zamir";"M";"20";NA;NA;"19";NA;NA;"39"
"Mirko";"M";"22";NA;"16";NA;NA;NA;"38"
"Jack";"M";"16";NA;NA;NA;NA;"22";"38"
"Ramón";"M";NA;NA;"18";NA;"20";NA;"38"
"Fabrizio";"M";NA;NA;NA;NA;"20";"18";"38"
"Lucian";"M";"20";NA;"17";NA;NA;NA;"37"
"Isai";"M";"21";"15";NA;NA;NA;NA;"36"
"Reinaldo";"M";NA;NA;NA;"18";"18";NA;"36"
"Yuliano";"M";"17";"18";NA;NA;NA;NA;"35"
"Vittorio";"M";NA;"16";NA;NA;NA;"19";"35"
"Justin";"M";NA;"15";NA;NA;NA;"20";"35"
"Valentin";"M";NA;"15";NA;NA;NA;"20";"35"
"Simon";"M";NA;NA;NA;"18";"17";NA;"35"
"Kai";"M";NA;NA;NA;NA;"19";"16";"35"
"Zahir";"M";"18";NA;NA;"16";NA;NA;"34"
"Abner";"M";"16";NA;NA;"18";NA;NA;"34"
"Noel";"M";NA;"18";"16";NA;NA;NA;"34"
"Adrian";"M";NA;NA;NA;NA;"15";"19";"34"
"Nikolas";"M";"17";NA;"16";NA;NA;NA;"33"
"Santy";"M";NA;NA;NA;NA;"16";"17";"33"
"Deylan";"M";"16";NA;"16";NA;NA;NA;"32"
"Gary";"M";"16";"16";NA;NA;NA;NA;"32"
"Neymar";"M";"16";NA;NA;"16";NA;NA;"32"
"Osmán";"M";"16";"16";NA;NA;NA;NA;"32"
"Joao";"M";NA;"15";NA;NA;NA;"17";"32"
"Bairon";"M";"16";"15";NA;NA;NA;NA;"31"
"Michel";"M";"15";NA;NA;"15";NA;NA;"30"
"Edric";"M";NA;NA;NA;"26";NA;NA;"26"
"Massimo";"M";NA;NA;NA;NA;NA;"26";"26"
"Maykel";"M";"24";NA;NA;NA;NA;NA;"24"
"Sandro";"M";NA;NA;NA;"23";NA;NA;"23"
"Johans";"M";"22";NA;NA;NA;NA;NA;"22"
"Allen";"M";"21";NA;NA;NA;NA;NA;"21"
"Yonathan";"M";"21";NA;NA;NA;NA;NA;"21"
"Dayron";"M";"20";NA;NA;NA;NA;NA;"20"
"Ehitan";"M";NA;"20";NA;NA;NA;NA;"20"
"Edrick";"M";NA;NA;NA;"20";NA;NA;"20"
"Ralph";"M";NA;NA;NA;"20";NA;NA;"20"
"Ferran";"M";NA;NA;NA;NA;"20";NA;"20"
"Ankatu";"M";"19";NA;NA;NA;NA;NA;"19"
"Yeiko";"M";"19";NA;NA;NA;NA;NA;"19"
"Demián";"M";NA;"19";NA;NA;NA;NA;"19"
"Jordano";"M";NA;"19";NA;NA;NA;NA;"19"
"Christobal";"M";"18";NA;NA;NA;NA;NA;"18"
"Enoc";"M";"18";NA;NA;NA;NA;NA;"18"
"Marlon";"M";"18";NA;NA;NA;NA;NA;"18"
"Kervens";"M";NA;NA;NA;"18";NA;NA;"18"
"Alén";"M";NA;NA;NA;NA;"18";NA;"18"
"Ían";"M";NA;NA;NA;NA;"18";NA;"18"
"Nawel";"M";NA;NA;NA;NA;NA;"18";"18"
"Iann";"M";"17";NA;NA;NA;NA;NA;"17"
"Mark";"M";"17";NA;NA;NA;NA;NA;"17"
"Yeremi";"M";"17";NA;NA;NA;NA;NA;"17"
"Harold";"M";NA;"17";NA;NA;NA;NA;"17"
"Maximilian";"M";NA;"17";NA;NA;NA;NA;"17"
"Oseias";"M";NA;"17";NA;NA;NA;NA;"17"
"Giorgio";"M";NA;NA;"17";NA;NA;NA;"17"
"Rood";"M";NA;NA;NA;"17";NA;NA;"17"
"Adams";"M";NA;NA;NA;NA;NA;"17";"17"
"Mael";"M";NA;NA;NA;NA;NA;"17";"17"
"Anyelo";"M";"16";NA;NA;NA;NA;NA;"16"
"Armando";"M";"16";NA;NA;NA;NA;NA;"16"
"Essay";"M";"16";NA;NA;NA;NA;NA;"16"
"Milton";"M";"16";NA;NA;NA;NA;NA;"16"
"Branco";"M";NA;"16";NA;NA;NA;NA;"16"
"Christián";"M";NA;"16";NA;NA;NA;NA;"16"
"Denzel";"M";NA;"16";NA;NA;NA;NA;"16"
"Newen";"M";NA;"16";NA;NA;NA;NA;"16"
"Roger";"M";NA;"16";NA;NA;NA;NA;"16"
"Tiago";"M";NA;NA;"16";NA;NA;NA;"16"
"Jhoel";"M";NA;NA;NA;"16";NA;NA;"16"
"Stanley";"M";NA;NA;NA;"16";NA;NA;"16"
"Wensley";"M";NA;NA;NA;"16";NA;NA;"16"
"Hassan";"M";NA;NA;NA;NA;"16";NA;"16"
"Hector";"M";NA;NA;NA;NA;"16";NA;"16"
"Jacobo";"M";NA;NA;NA;NA;"16";NA;"16"
"Iam";"M";NA;NA;NA;NA;NA;"16";"16"
"Yael";"M";NA;NA;NA;NA;NA;"16";"16"
"Amador";"M";"15";NA;NA;NA;NA;NA;"15"
"Branko";"M";"15";NA;NA;NA;NA;NA;"15"
"Dyland";"M";"15";NA;NA;NA;NA;NA;"15"
"Marcial";"M";"15";NA;NA;NA;NA;NA;"15"
"Yamil";"M";"15";NA;NA;NA;NA;NA;"15"
"Dennis";"M";NA;"15";NA;NA;NA;NA;"15"
"Gahel";"M";NA;"15";NA;NA;NA;NA;"15"
"Jhair";"M";NA;NA;"15";NA;NA;NA;"15"
"Luckas";"M";NA;NA;"15";NA;NA;NA;"15"
"Edgard";"M";NA;NA;NA;"15";NA;NA;"15"
"Gregorio";"M";NA;NA;NA;"15";NA;NA;"15"
"Kael";"M";NA;NA;NA;"15";NA;NA;"15"
"Alain";"M";NA;NA;NA;NA;"15";NA;"15"
"Edson";"M";NA;NA;NA;NA;"15";NA;"15"
"Horacio";"M";NA;NA;NA;NA;"15";NA;"15"
"Elían";"M";NA;NA;NA;NA;NA;"15";"15"
"Ferrán";"M";NA;NA;NA;NA;NA;"15";"15"
"Naim";"M";NA;NA;NA;NA;NA;"15";"15"
