"nombre";"sexo";"2015";"2016";"2017";"2018";"2019";"2020";"n_total"
"Jeremy";"M";"88";"88";"61";"69";"59";"61";"426"
"John";"M";"74";"54";"68";"92";"78";"56";"422"
"Emir";"M";"15";"24";"152";"90";"67";"71";"419"
"Hans";"M";"103";"97";"57";"46";"60";"54";"417"
"Johan";"M";"112";"76";"72";"43";"62";"50";"415"
"Julio";"M";"106";"61";"66";"78";"54";"49";"414"
"Joseph";"M";"80";"75";"58";"75";"59";"63";"410"
"Jordán";"M";"126";"115";"61";"41";"31";"34";"408"
"Paolo";"M";"67";"79";"62";"80";"56";"63";"407"
"Cristobal";"M";"97";"64";"52";"50";"58";"73";"394"
"Omar";"M";"79";"76";"64";"53";"61";"59";"392"
"Joaquin";"M";"54";"78";"71";"53";"72";"63";"391"
"Martin";"M";"85";"50";"65";"54";"60";"75";"389"
"Exequiel";"M";"98";"77";"57";"66";"48";"42";"388"
"Rubén";"M";"97";"62";"67";"71";"50";"41";"388"
"Mauro";"M";"104";"70";"61";"45";"52";"46";"378"
"Iñaki";"M";"48";"63";"70";"72";"64";"59";"376"
"Joshua";"M";"76";"60";"73";"56";"53";"55";"373"
"Milán";"M";"77";"46";"61";"58";"59";"71";"372"
"Sebastian";"M";"69";"67";"60";"60";"55";"58";"369"
"Eidan";"M";"68";"80";"61";"55";"63";"41";"368"
"Edward";"M";"67";"63";"73";"55";"52";"54";"364"
"Cristián";"M";"70";"79";"57";"59";"55";"37";"357"
"Israel";"M";"54";"60";"49";"65";"56";"71";"355"
"Adolfo";"M";"69";"79";"60";"49";"49";"46";"352"
"Derek";"M";"32";"60";"47";"51";"68";"93";"351"
"Enrique";"M";"70";"59";"59";"64";"46";"44";"342"
"Theo";"M";"29";"34";"39";"67";"66";"105";"340"
"Misael";"M";"80";"58";"50";"53";"48";"50";"339"
"Maximo";"M";"53";"50";"52";"53";"65";"66";"339"
"Tahiel";"M";"49";"56";"62";"55";"53";"62";"337"
"Evan";"M";"46";"44";"52";"61";"63";"68";"334"
"Evans";"M";"66";"51";"57";"49";"59";"50";"332"
"Edgar";"M";"61";"54";"59";"63";"45";"48";"330"
"Giovanni";"M";"58";"63";"52";"43";"61";"53";"330"
"Efraín";"M";"52";"47";"61";"60";"57";"53";"330"
"Michael";"M";"90";"48";"52";"50";"50";"38";"328"
"Samir";"M";"68";"50";"46";"49";"53";"62";"328"
"Milovan";"M";"63";"68";"57";"44";"45";"51";"328"
"Hernán";"M";"74";"61";"60";"48";"49";"35";"327"
"Caleb";"M";"30";"32";"52";"81";"70";"62";"327"
"Baltasar";"M";"55";"66";"43";"54";"40";"66";"324"
"Paulo";"M";"75";"49";"50";"54";"47";"48";"323"
"Alberto";"M";"74";"47";"63";"55";"36";"44";"319"
"Iván";"M";"56";"53";"49";"49";"58";"50";"315"
"Danilo";"M";"66";"59";"58";"50";"36";"43";"312"
"Gerardo";"M";"56";"45";"50";"68";"47";"38";"304"
"Jose";"M";"43";"47";"47";"46";"60";"56";"299"
"Beltrán";"M";"27";"39";"57";"52";"67";"56";"298"
"Bautista";"M";"29";"55";"45";"51";"46";"70";"296"
"Lionel";"M";"55";"68";"50";"41";"41";"33";"288"
"Germán";"M";"53";"49";"54";"48";"46";"34";"284"
"Rodolfo";"M";"55";"47";"44";"34";"53";"48";"281"
"Brandon";"M";"92";"54";"37";"29";"29";"32";"273"
"Julian";"M";"49";"39";"43";"42";"53";"46";"272"
"Nicanor";"M";"46";"54";"36";"46";"46";"43";"271"
